date,amount,merchant
2026-02-01,-2500,PAYROLL
2026-02-02,30,STARBUCKS
2026-02-03,45,UBER
2026-02-05,80,WHOLE FOODS
2026-02-10,12.99,NETFLIX
2026-02-15,9.99,SPOTIFY
2026-03-01,-2500,PAYROLL
2026-03-02,120,TARGET
2026-03-03,60,UBER
2026-03-04,25,STARBUCKS
2026-03-05,75,WHOLE FOODS
2026-03-10,12.99,NETFLIX
2026-03-15,9.99,SPOTIFY
2026-03-18,14.99,DISNEY
2026-04-01,-2500,PAYROLL
2026-04-02,200,AMAZON
2026-04-03,70,UBER
2026-04-04,40,STARBUCKS
2026-04-05,90,WHOLE FOODS
2026-04-10,12.99,NETFLIX
2026-04-15,9.99,SPOTIFY
2026-04-20,14.99,DISNEY
